2026-06-07 12:09:30,572 | INFO | consulta_processos.email_service | Email automático desabilitado.
2026-06-09 22:38:11,528 | INFO | consulta_processos.jobs.monitorados_report | Iniciando geração de relatório de monitorados
2026-06-09 22:38:11,532 | INFO | consulta_processos.jobs.monitorados_report | Quantidade de processos monitorados: 0
2026-06-10 00:19:37,551 | INFO | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2026-06-10 00:19:37,563 | INFO | consulta_processos.services.consulta_service | Iniciando consulta de 1 processo(s)
2026-06-10 00:19:37,563 | INFO | consulta_processos.services.consulta_service | Consultando processo 0964024-67.2024.8.19.0001 na base datajud_tjrj
2026-06-10 00:19:37,571 | INFO | consulta_processos.services.consulta_service | Consulta concluída para processo 0964024-67.2024.8.19.0001 na base datajud_tjrj com 1 movimentação(ões)
2026-06-10 00:19:37,575 | INFO | httpx | HTTP Request: POST http://testserver/consultar-processos "HTTP/1.1 200 OK"
2026-06-10 00:19:37,753 | INFO | consulta_processos.jobs.monitorados_report | Iniciando geração de relatório de monitorados
2026-06-10 00:19:37,753 | INFO | consulta_processos.jobs.monitorados_report | Quantidade de processos monitorados: 0
2026-06-10 00:19:38,160 | INFO | consulta_processos.services.consulta_service | Iniciando consulta de 1 processo(s)
2026-06-10 00:19:38,160 | INFO | consulta_processos.services.consulta_service | Consultando processo 0964024-67.2024.8.19.0001 na base datajud_tjrj
2026-06-10 00:19:38,160 | INFO | consulta_processos.services.consulta_service | Consulta concluída para processo 0964024-67.2024.8.19.0001 na base datajud_tjrj com 1 movimentação(ões)
2026-06-10 01:50:02,125 | INFO | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2026-06-10 01:50:02,132 | INFO | consulta_processos.services.consulta_service | Iniciando consulta de 1 processo(s)
2026-06-10 01:50:02,133 | INFO | consulta_processos.services.consulta_service | Consultando processo 0964024-67.2024.8.19.0001 na base datajud_tjrj
2026-06-10 01:50:02,138 | INFO | consulta_processos.services.consulta_service | Consulta concluída para processo 0964024-67.2024.8.19.0001 na base datajud_tjrj com 1 movimentação(ões)
2026-06-10 01:50:02,141 | INFO | httpx | HTTP Request: POST http://testserver/consultar-processos "HTTP/1.1 200 OK"
2026-06-10 01:50:02,316 | INFO | consulta_processos.jobs.monitorados_report | Iniciando geração de relatório de monitorados
2026-06-10 01:50:02,316 | INFO | consulta_processos.jobs.monitorados_report | Quantidade de processos monitorados: 0
2026-06-10 01:50:02,710 | INFO | consulta_processos.services.consulta_service | Iniciando consulta de 1 processo(s)
2026-06-10 01:50:02,710 | INFO | consulta_processos.services.consulta_service | Consultando processo 0964024-67.2024.8.19.0001 na base datajud_tjrj
2026-06-10 01:50:02,711 | INFO | consulta_processos.services.consulta_service | Consulta concluída para processo 0964024-67.2024.8.19.0001 na base datajud_tjrj com 1 movimentação(ões)
